TICKER	DATA PRIMA QUOTAZIONE	DATA ULTIMA QUOTAZIONE	VARIAZIONE PERCENTUALE	PREZZO MINIMO	PREZZO MASSIMO
ASRVP	1998-06-04	2018-08-24	11.294%	13.840	33.900
ASTC	1995-12-21	2018-08-24	-99.395%	1.000	99.500
ASTE	1986-06-18	2018-08-24	1390.461%	0.469	9.990
ASUR	1992-04-07	2018-08-24	-82.816%	0.667	98.333
ASV	2017-05-12	2018-08-24	-26.115%	4.750	9.980
ASX	2000-10-02	2018-08-24	38.805%	1.158	8.120
ASYS	1983-08-09	2018-08-24	-46.800%	0.750	9.990
AT	2009-12-03	2018-08-24	-79.396%	1.570	9.990
ATAI	2008-01-29	2018-08-24	-23.200%	10.000	9.990
ATAX	1986-04-02	2018-08-24	-71.463%	10.000	9.875
ATEC	2006-06-12	2018-08-24	-96.324%	1.580	99.000
ATEN	2014-03-21	2018-08-24	-56.755%	10.020	9.970
ATGE	1991-06-21	2018-08-24	3895.897%	1.094	9.906
ATH	2016-08-19	2018-08-24	-54.193%	103.000	55.220
ATHM	2013-12-11	2018-08-24	164.084%	100.000	99.520
ATHN	2007-09-20	2018-08-24	328.507%	100.000	99.790
ATHX	2007-06-12	2018-08-24	-61.714%	0.150	8.750
ATI	1999-11-29	2018-08-24	3.525%	10.020	99.950
ATIS	2018-01-16	2018-08-24	-68.182%	0.320	1.310
ATKR	2016-06-10	2018-08-24	76.125%	14.170	28.340
ATLC	2018-01-16	2018-08-24	15.086%	1.520	3.830
ATLO	2015-01-02	2018-08-24	20.730%	22.010	37.450
ATNI	1991-11-14	2018-08-24	718.111%	10.000	9.956
ATNX	2017-06-14	2018-08-24	36.465%	11.210	20.900
